res_constrained	res_constrained_updatefactor_1	res_unconstrained	res_unconstrained_abs	res_unconstrained_abs_beta_0.5	res_unconstrained_abs_beta_0.5_updatefactor_1	res_unconstrained_beta_0.5	res_unconstrained_beta_0.5_updatefactor_1	res_unconstrained_new	res_unconstrained_new_SLSQP	res_unconstrained_new_updatefactor_1	
p_hat300-3.clq.cnf	635	635	346	635	635	635	293	293	99999	99999	99999	
hamming10-4.clq.cnf	718	718	686	718	718	718	354	396	99999	99999	99999	
sanr400_0.5.clq.cnf	399	399	156	399	180	399	162	399	99999	99999	99999	
sanr400_0.7.clq.cnf	548	548	253	548	548	548	255	255	99999	99999	99999	
hamming8-4.clq.cnf	497	497	206	497	497	497	385	385	99999	99999	99999	
johnson16-2-4.clq.cnf	575	575	275	575	575	575	244	244	99999	99999	99999	
c-fat200-5.clq.cnf	323	323	122	150	155	155	131	131	99999	99999	99999	
san400_0.9_1.clq.cnf	678	678	433	678	678	678	345	345	99999	99999	99999	
brock800_4.clq.cnf	498	498	219	498	498	498	206	206	99999	99999	99999	
c-fat200-1.clq.cnf	46	46	4	6	10	10	6	6	99999	99999	99999	
sanr200_0.7.clq.cnf	546	546	231	265	546	546	232	232	99999	99999	99999	
brock200_3.clq.cnf	519	519	291	519	519	519	232	232	99999	99999	99999	
san200_0.9_1.clq.cnf	696	696	372	696	696	696	365	365	99999	99999	99999	
brock800_1.clq.cnf	511	511	220	511	511	511	210	210	99999	99999	99999	
johnson32-2-4.clq.cnf	764	764	379	764	764	764	374	374	99999	99999	99999	
p_hat300-2.clq.cnf	368	368	142	368	368	368	139	139	99999	99999	99999	
c-fat500-10.clq.cnf	420	420	226	420	420	420	232	242	99999	99999	99999	
p_hat700-2.clq.cnf	411	411	169	411	411	411	164	164	99999	99999	99999	
MANN_a81.clq.cnf	819	819	455	819	819	819	442	442	99999	99999	99999	
p_hat1000-3.clq.cnf	570	570	259	570	570	570	260	260	99999	99999	99999	
p_hat1000-1.clq.cnf	176	176	54	64	67	67	55	55	99999	99999	99999	
san1000.clq.cnf	372	372	181	372	163	372	163	163	99999	99999	99999	
p_hat1000-2.clq.cnf	371	371	159	371	371	371	153	153	99999	99999	99999	
p_hat300-1.clq.cnf	174	174	56	66	64	64	50	50	99999	99999	99999	
MANN_a27.clq.cnf	845	845	411	845	845	845	609	609	99999	99999	99999	
p_hat500-3.clq.cnf	655	655	337	655	655	655	355	355	99999	99999	99999	
brock200_2.clq.cnf	385	385	153	385	385	385	143	143	99999	99999	99999	
brock200_4.clq.cnf	514	514	258	514	514	514	222	224	99999	99999	99999	
